"","fixed_acidity","volatile_acidity","citric_acidity","ph","quality"
"1338",6,0.5,0,3.36,5
"1339",6,0.5,0,3.36,5
"1340",7.5,0.51,0.02,3.36,6
"1341",7.5,0.51,0.02,3.36,6
"1342",7.5,0.51,0.02,3.36,6
"1343",7.6,0.54,0.02,3.37,6
"1344",7.5,0.51,0.02,3.36,6
"1345",11.5,0.42,0.48,3.09,5
"1346",8.2,0.44,0.24,3.25,6
"1347",6.1,0.59,0.01,3.52,5
"1348",7.2,0.655,0.03,3.34,5
"1349",7.2,0.655,0.03,3.34,5
"1350",6.9,0.57,0,3.41,5
"1351",9,0.6,0.29,3.34,5
"1352",7.2,0.62,0.01,3.32,6
"1353",7.6,0.645,0.03,3.37,5
"1354",7.6,0.645,0.03,3.37,5
"1355",7.2,0.58,0.03,3.35,5
"1356",6.1,0.32,0.25,3.36,5
"1357",6.1,0.34,0.25,3.36,5
"1358",7.3,0.43,0.24,3.6,6
"1359",7.4,0.64,0.17,3.28,5
"1360",11.6,0.475,0.4,3.07,6
"1361",9.2,0.54,0.31,3.24,5
"1362",8.3,0.85,0.14,3.36,5
"1363",11.6,0.475,0.4,3.07,6
"1364",8,0.83,0.27,3.29,4
"1365",7.2,0.605,0.02,3.46,6
"1366",7.8,0.5,0.09,3.18,5
"1367",7.3,0.74,0.08,3.24,5
"1368",6.9,0.54,0.3,3.25,6
"1369",8,0.77,0.32,3.27,6
"1370",6.6,0.61,0,3.33,4
"1371",8.7,0.78,0.51,3,5
"1372",7.5,0.58,0.56,3.21,6
"1373",8.7,0.78,0.51,3,5
"1374",7.7,0.75,0.27,3.24,5
"1375",6.8,0.815,0,3.32,3
"1376",7.2,0.56,0.26,3.26,5
"1377",8.2,0.885,0.2,3.11,5
"1378",5.2,0.49,0.26,3.71,6
"1379",7.2,0.45,0.15,3.29,6
"1380",7.5,0.57,0.02,3.36,6
"1381",7.5,0.57,0.02,3.36,6
"1382",6.8,0.83,0.09,3.38,5
"1383",8,0.6,0.22,3.3,5
"1384",8,0.6,0.22,3.3,5
"1385",7.1,0.755,0.15,3.19,5
"1386",8,0.81,0.25,3.19,5
"1387",7.4,0.64,0.07,3.3,5
"1388",7.4,0.64,0.07,3.3,5
"1389",6.6,0.64,0.31,3.35,5
"1390",6.7,0.48,0.02,3.1,5
"1391",6,0.49,0,3.58,6
"1392",8,0.64,0.22,3.37,5
"1393",7.1,0.62,0.06,3.17,5
"1394",8,0.52,0.25,3.3,5
"1395",6.4,0.57,0.14,3.32,5
"1396",8.6,0.685,0.1,3.31,6
"1397",8.7,0.675,0.1,3.31,5
"1398",7.3,0.59,0.26,3.28,5
"1399",7,0.6,0.12,3.52,7
"1400",7.2,0.67,0,3.42,6
"1401",7.9,0.69,0.21,3.25,5
"1402",7.9,0.69,0.21,3.25,5
"1403",7.6,0.3,0.42,3.44,6
"1404",7.2,0.33,0.33,3.23,8
"1405",8,0.5,0.39,3.43,6
"1406",7.7,0.28,0.3,3.28,7
"1407",8.2,0.24,0.34,3.22,6
"1408",6,0.51,0,3.54,6
"1409",8.1,0.29,0.36,3.27,7
"1410",6,0.51,0,3.54,6
"1411",6.6,0.96,0,3.5,6
"1412",6.4,0.47,0.4,3.56,6
"1413",8.2,0.24,0.34,3.22,6
"1414",9.9,0.57,0.25,3.04,5
"1415",10,0.32,0.59,3.2,5
"1416",6.2,0.58,0,3.56,5
"1417",10,0.32,0.59,3.2,5
"1418",7.3,0.34,0.33,3.35,7
"1419",7.8,0.53,0.01,3.16,5
"1420",7.7,0.64,0.21,3.27,5
"1421",7.8,0.53,0.01,3.16,5
"1422",7.5,0.4,0.18,3.34,5
"1423",7,0.54,0,3.39,6
"1424",6.4,0.53,0.09,3.5,4
"1425",8.3,0.26,0.37,3.26,6
"1426",8.3,0.26,0.37,3.26,6
"1427",7.7,0.23,0.37,3.41,6
"1428",7.6,0.41,0.33,3.3,5
"1429",7.8,0.64,0,3.31,5
"1430",7.9,0.18,0.4,3.33,5
"1431",7.4,0.41,0.24,3.37,5
"1432",7.6,0.43,0.31,3.26,6
"1433",5.9,0.44,0,3.48,6
"1434",6.1,0.4,0.16,3.42,7
"1435",10.2,0.54,0.37,3.18,6
"1436",10.2,0.54,0.37,3.18,6
"1437",10,0.38,0.38,3.15,5
"1438",6.8,0.915,0.29,3.53,5
"1439",7,0.59,0,3.41,5
"1440",7.3,0.67,0.02,3.32,6
"1441",7.2,0.37,0.32,3.23,7
"1442",7.4,0.785,0.19,3.16,6
"1443",6.9,0.63,0.02,3.4,5
"1444",6.9,0.58,0.2,3.38,5
"1445",7.3,0.67,0.02,3.32,6
"1446",7.4,0.785,0.19,3.16,6
"1447",6.9,0.63,0.02,3.4,5
"1448",6.8,0.67,0,3.4,5
"1449",6.9,0.58,0.01,3.4,5
"1450",7.2,0.38,0.31,3.23,8
"1451",7.2,0.37,0.32,3.23,7
"1452",7.8,0.32,0.44,3.33,7
"1453",6.6,0.58,0.02,3.35,7
"1454",7.6,0.49,0.33,3.41,5
"1455",11.7,0.45,0.63,3.21,6
"1456",6.5,0.9,0,3.5,6
"1457",6,0.54,0.06,3.3,6
"1458",7.6,0.49,0.33,3.41,5
"1459",8.4,0.29,0.4,3.39,5
"1460",7.9,0.2,0.35,3.32,7
"1461",6.4,0.42,0.09,3.41,6
"1462",6.2,0.785,0,3.59,4
"1463",6.8,0.64,0.03,3.36,6
"1464",6.9,0.63,0.01,3.34,6
"1465",6.8,0.59,0.1,3.41,5
"1466",6.8,0.59,0.1,3.41,5
"1467",7.3,0.48,0.32,3.3,7
"1468",6.7,1.04,0.08,3.52,4
"1469",7.3,0.48,0.32,3.3,7
"1470",7.3,0.98,0.05,3.31,3
"1471",10,0.69,0.11,2.88,5
"1472",6.7,0.7,0.08,3.43,5
"1473",7.6,0.35,0.6,3.38,6
"1474",6.1,0.6,0.08,3.38,5
"1475",9.9,0.5,0.5,3.16,5
"1476",5.3,0.47,0.11,3.54,7
"1477",9.9,0.5,0.5,3.16,5
"1478",5.3,0.47,0.11,3.54,7
"1479",7.1,0.875,0.05,3.4,3
"1480",8.2,0.28,0.6,3.39,5
"1481",5.6,0.62,0.03,3.66,4
"1482",8.2,0.28,0.6,3.39,5
"1483",7.2,0.58,0.54,3.33,4
"1484",8.1,0.33,0.44,3.35,5
"1485",6.8,0.91,0.06,3.53,4
"1486",7,0.655,0.16,3.37,5
"1487",6.8,0.68,0.21,3.38,5
"1488",6,0.64,0.05,3.52,5
"1489",5.6,0.54,0.04,3.72,5
"1490",6.2,0.57,0.1,3.44,6
"1491",7.1,0.22,0.49,3.39,6
"1492",5.6,0.54,0.04,3.72,5
"1493",6.2,0.65,0.06,3.57,5
"1494",7.7,0.54,0.26,3.26,5
"1495",6.4,0.31,0.09,3.42,7
"1496",7,0.43,0.02,3.35,6
"1497",7.7,0.54,0.26,3.26,5
"1498",6.9,0.74,0.03,3.45,6
"1499",6.6,0.895,0.04,3.53,6
"1500",6.9,0.74,0.03,3.45,6
"1501",7.5,0.725,0.04,3.26,5
"1502",7.8,0.82,0.29,3.16,5
"1503",7.3,0.585,0.18,3.31,5
"1504",6.2,0.44,0.39,3.51,6
"1505",7.5,0.38,0.57,3.36,6
"1506",6.7,0.76,0.02,3.55,3
"1507",6.8,0.81,0.05,3.51,6
"1508",7.5,0.38,0.57,3.36,6
"1509",7.1,0.27,0.6,3.38,6
"1510",7.9,0.18,0.4,3.28,5
"1511",6.4,0.36,0.21,3.47,6
"1512",7.1,0.69,0.04,3.44,5
"1513",6.4,0.79,0.04,3.53,6
"1514",6.4,0.56,0.15,3.33,6
"1515",6.9,0.84,0.21,3.53,6
"1516",6.9,0.84,0.21,3.53,6
"1517",6.1,0.32,0.25,3.42,5
"1518",6.5,0.53,0.06,3.38,6
"1519",7.4,0.47,0.46,3.32,5
"1520",6.6,0.7,0.08,3.44,5
"1521",6.5,0.53,0.06,3.38,6
"1522",6.9,0.48,0.2,3.39,4
"1523",6.1,0.32,0.25,3.42,5
"1524",6.8,0.48,0.25,3.34,5
"1525",6,0.42,0.19,3.39,6
"1526",6.7,0.48,0.08,3.33,5
"1527",6.8,0.47,0.08,3.3,6
"1528",7.1,0.53,0.07,3.29,6
"1529",7.9,0.29,0.49,3.31,6
"1530",7.1,0.69,0.08,3.42,6
"1531",6.6,0.44,0.09,3.42,6
"1532",6.1,0.705,0.1,3.6,5
"1533",7.2,0.53,0.13,3.21,6
"1534",8,0.39,0.3,3.39,5
"1535",6.6,0.56,0.14,3.42,7
"1536",7,0.55,0.13,3.36,6
"1537",6.1,0.53,0.08,3.6,6
"1538",5.4,0.58,0.08,3.5,6
"1539",6.2,0.64,0.09,3.57,5
"1540",7.2,0.39,0.32,3.46,5
"1541",6.2,0.52,0.08,3.56,6
"1542",7.4,0.25,0.29,3.4,7
"1543",6.7,0.855,0.02,3.3,6
"1544",11.1,0.44,0.42,3.25,6
"1545",8.4,0.37,0.43,3.17,7
"1546",6.5,0.63,0.33,3.36,6
"1547",7,0.57,0.02,3.36,5
"1548",6.3,0.6,0.1,3.55,5
"1549",11.2,0.4,0.5,3.1,5
"1550",7.4,0.36,0.3,3.24,8
"1551",7.1,0.68,0,3.45,5
"1552",7.1,0.67,0,3.44,5
"1553",6.3,0.68,0.01,3.51,6
"1554",7.3,0.735,0,3.41,5
"1555",6.6,0.855,0.02,3.54,6
"1556",7,0.56,0.17,3.44,7
"1557",6.6,0.88,0.04,3.53,5
"1558",6.6,0.855,0.02,3.54,6
"1559",6.9,0.63,0.33,3.22,5
"1560",7.8,0.6,0.26,3.21,5
"1561",7.8,0.6,0.26,3.21,5
"1562",7.8,0.6,0.26,3.21,5
"1563",7.2,0.695,0.13,3.29,5
"1564",7.2,0.695,0.13,3.29,5
"1565",7.2,0.695,0.13,3.29,5
"1566",6.7,0.67,0.02,3.39,6
"1567",6.7,0.16,0.64,3.34,6
"1568",7.2,0.695,0.13,3.29,5
"1569",7,0.56,0.13,3.34,5
"1570",6.2,0.51,0.14,3.48,6
"1571",6.4,0.36,0.53,3.37,6
"1572",6.4,0.38,0.14,3.44,6
"1573",7.3,0.69,0.32,3.33,5
"1574",6,0.58,0.2,3.58,6
"1575",5.6,0.31,0.78,3.39,6
"1576",7.5,0.52,0.4,3.26,6
"1577",8,0.3,0.63,3.3,6
"1578",6.2,0.7,0.15,3.54,6
"1579",6.8,0.67,0.15,3.42,6
"1580",6.2,0.56,0.09,3.54,5
"1581",7.4,0.35,0.33,3.36,6
"1582",6.2,0.56,0.09,3.54,5
"1583",6.1,0.715,0.1,3.57,5
"1584",6.2,0.46,0.29,3.33,5
"1585",6.7,0.32,0.44,3.29,7
"1586",7.2,0.39,0.44,3.3,6
"1587",7.5,0.31,0.41,3.34,6
"1588",5.8,0.61,0.11,3.55,6
"1589",7.2,0.66,0.33,3.27,6
"1590",6.6,0.725,0.2,3.29,5
"1591",6.3,0.55,0.15,3.32,6
"1592",5.4,0.74,0.09,3.67,6
"1593",6.3,0.51,0.13,3.42,6
"1594",6.8,0.62,0.08,3.42,6
"1595",6.2,0.6,0.08,3.45,5
"1596",5.9,0.55,0.1,3.52,6
"1597",6.3,0.51,0.13,3.42,6
"1598",5.9,0.645,0.12,3.57,5
"1599",6,0.31,0.47,3.39,6
